id,title,category,channelTitle,tags,label
6dTyOl1fmDo,There's more to those colliding blocks that compute pi,Education,3Blue1Brown,"Mathematics, three blue one brown, 3 blue 1 brown, 3b1b, 3brown1blue, 3 brown 1 blue, three brown one blue",1
UN8Vp1uugW4,Korean Perm What You Need to Know,Education,Cedric Pham,,1
f4pQrebE6jc,A-frame VR project,Film & Animation,Karen Vanderpool,iMovie,1
2xxziIWmaSA,The LangChain Cookbook - Beginner Guide To 7 Essential Concepts,People & Blogs,Greg Kamradt,,1
LbT1yp6quS8,LangChain Crash Course - Build apps with language models,Education,Patrick Loeber,Python,1
MlK6SIjcjE8,LangChain Crash Course: Build a AutoGPT app in 25 minutes!,Science & Technology,Nicholas Renotte,"machine learning, python, ai",1
MSq-KGj_cnY,12 ways to Active Recall in 12 minutes,Education,Koi,"active recall, evidence based study strategies, evidence based learning, evidence based study tips, mikeandmatty, mike and matty, study tips for middle school students, how to remember what you read quickly, how to remember what you read fast, study tips for high school, study tips for college, study tips for medical students, study tips for nursing students",1
T4IX36sP_0c,Creating a Stardew Valley inspired game in Python,Education,Clear Code,,1
T4IX36sP_0c,Creating a Stardew Valley inspired game in Python,Education,Clear Code,,1
kVrFjcq0qiw,Tom Hiddleston knows how to seduce everyone with his voice,Music,Roshan 羅山先生 🌊,"Tom Hiddleston, voice",0
PZ7lDrwYdZc,How to become 37.78 times better at anything | Atomic Habits summary (by James Clear),Education,Escaping Ordinary (B.C Marx) , ,1
9Rc_EjPZgB8,Expression Shakes | After Effects AMV Tutorial,People & Blogs,wastie,"amv, amv tutorial, anime",1
kQ8DGP9p2LY,The ultimate introduction to PySimpleGUI [ Creating apps in Python ],Education,Clear Code,,1
1_H7InPMjaY,Python / Pygame tutorial: Collisions between static and moving objects,Education,Clear Code,,1
lHafBjtTyKQ,Cat breakdancing, but everyone breakdances too,Comedy,VΞGΛ,"Cat, Everyone, meme, girl, sakura, Sims, Anime, breakdance",0
fW8amMCVAJQ,First Follower: Leadership Lessons from Dancing Guy,Education,Derek Sivers,"derek, sivers, first, follower, dancing, guy, leadership, leader",1
6Sl7xxisVZo,How To Freestyle Rap With Limitless Vocabulary Instantly: Never Run Out Of Words To Say,Education,How To Freestyle Rap,"how to freestyle rap, how to rap, freestyle rap, freestyle rapping, freestyle, rap, how to freestyle rap better, how to freestyle rap forever, how to freestyle rap for beginners, how to freestyle",1
W9uKzPFS1CI,Collisions between moving objects,Education,Clear Code,,1
